YEAR       DAY        EXEC_TIME       MAX_RAM_KB     
------------------------------------------------------------
2006-354.h5       3:50.31           4160884
2006-355.h5       2:48.95           3434384
2006-356.h5       3:04.94           3617980
2006-357.h5       2:53.24           3437348
2006-358.h5       3:19.31           3797864
2006-359.h5       3:36.75           3979136
2006-360.h5       3:36.69           3980240
2006-361.h5       3:48.32           4158100
2006-362.h5       3:36.26           3977928
2006-363.h5       3:49.45           4161132
2006-364.h5       3:06.51           3618596
2006-365.h5       3:49.91           4157780
2007-001.h5       3:34.20           3980968
2007-002.h5       3:38.04           3977868
2007-003.h5       3:35.09           3979764
2007-004.h5       3:38.38           3981612
2007-005.h5       0:47.86           1986308
2007-006.h5       3:31.53           3979952
2007-007.h5       3:38.44           3979552
2007-008.h5       3:33.88           3979720
2007-009.h5       3:55.58           4158960
2007-010.h5       3:33.44           3977680
2007-011.h5       3:19.75           3798852
2007-012.h5       3:49.79           4158392
2007-013.h5       3:36.86           3980596
2007-014.h5       3:52.16           4161212
2007-015.h5       0:48.99           1985480
2007-017.h5       2:03.60           2893668
2007-018.h5       3:36.79           3978348
2007-019.h5       3:54.19           4159004
2007-020.h5       3:38.51           3978672
2007-021.h5       3:51.92           4158544
2007-022.h5       3:35.14           3978148
2007-023.h5       3:52.03           4160064
2007-024.h5       3:34.56           3977508
2007-025.h5       3:25.19           3798260
2007-026.h5       3:16.75           3800124
2007-027.h5       3:36.24           3979232
2007-028.h5       3:48.40           4160464
2007-029.h5       3:43.05           3979616
2007-030.h5       3:14.86           3618012
2007-031.h5       3:40.92           3978376
2007-032.h5       4:00.03           4157904
2007-033.h5       4:01.92           4159604
2007-034.h5       3:32.95           3977496
2007-035.h5       3:45.68           3977928
2007-036.h5       3:37.40           3978980
2007-037.h5       3:05.23           3618608
2007-038.h5       3:36.70           3979056
2007-039.h5       3:35.59           3977596
2007-040.h5       3:33.76           3977700
2007-041.h5       3:53.53           4158216
2007-042.h5       3:33.15           3978008
2007-043.h5       3:06.47           3618372
2007-044.h5       3:50.83           4159196
2007-045.h5       3:34.81           3978108
2007-046.h5       3:51.77           4159412
2007-047.h5       2:48.59           3437208
2007-048.h5       3:52.43           4157812
2007-049.h5       3:51.53           4158920
2007-050.h5       3:37.00           3977824
2007-051.h5       3:52.90           4158192
2007-052.h5       3:21.47           3799036
2007-053.h5       3:56.46           4158792
2007-054.h5       2:51.01           3435876
2007-055.h5       3:33.70           3977912
2007-056.h5       3:33.13           3979464
2007-057.h5       3:54.37           4158692
2007-058.h5       3:35.71           3977716
2007-059.h5       3:34.40           3978236
2007-060.h5       3:54.22           4158576
2007-061.h5       3:36.14           3977716
2007-062.h5       3:56.34           4158216
2007-063.h5       3:05.35           3618052
2007-064.h5       4:02.18           4157476
2007-065.h5       3:17.90           3801196
2007-066.h5       1:03.60           2169048
2007-067.h5       2:01.29           2893568
2007-068.h5       3:20.34           3798012
2007-069.h5       3:51.76           4159564
2007-070.h5       3:32.09           3979276
2007-071.h5       3:39.72           3977976
2007-072.h5       3:21.04           3797240
2007-073.h5       2:47.60           3437264
2007-074.h5       3:34.84           3977780
2007-075.h5       3:34.82           3979484
2007-076.h5       3:34.16           3977996
2007-080.h5       1:34.82           2532604
2007-081.h5       3:47.92           4158252
2007-082.h5       3:19.51           3799464
2007-083.h5       3:20.46           3798740
2007-084.h5       3:30.98           3980784
2007-085.h5       1:20.16           2352764
2007-086.h5       2:07.96           2893740
2007-087.h5       3:38.01           3979116
2007-088.h5       3:22.67           3798328
2007-089.h5       3:49.79           4159744
2007-090.h5       3:21.49           3800576
2007-091.h5       3:36.46           3979232
2007-092.h5       3:31.75           3798224
2007-093.h5       3:41.40           3977684
2007-094.h5       3:53.76           4159944
2007-095.h5       1:49.53           2714976
2007-096.h5       1:04.64           2169288
2007-097.h5       3:55.16           4158432
2007-098.h5       3:21.45           3798028
2007-099.h5       3:49.66           3982412
2007-100.h5       3:46.78           3980136
2007-101.h5       3:20.60           3798560
2007-102.h5       1:28.54           2534208
2007-106.h5       1:34.77           2532356
2007-107.h5       3:33.91           3971408
2007-108.h5       3:53.50           4150372
2007-109.h5       3:18.07           3801652
2007-110.h5       3:38.33           3981000
2007-111.h5       3:17.91           3799440
2007-112.h5       3:54.17           4158768
2007-113.h5       3:49.53           4158956
2007-114.h5       0:48.40           1985120
2007-116.h5       2:18.73           3076156
2007-117.h5       3:33.58           3980220
2007-118.h5       3:39.37           3981164
2007-119.h5       3:38.33           3982828
2007-120.h5       3:17.39           3800532
2007-121.h5       3:52.85           4159072
2007-122.h5       3:58.19           4158944
2007-123.h5       3:37.62           3978124
2007-124.h5       3:48.37           4158244
2007-125.h5       3:32.04           3980860
2007-126.h5       3:36.14           3981032
2007-127.h5       3:29.04           3800720
2007-128.h5       3:12.46           3620164
2007-129.h5       3:51.56           4158952
2007-130.h5       3:04.49           3618284
2007-131.h5       2:50.52           3440396
2007-132.h5       3:35.70           3978116
2007-133.h5       3:46.94           4158028
2007-134.h5       3:23.53           3800732
2007-135.h5       2:23.27           3076336
2007-136.h5       2:37.24           3256756
2007-137.h5       3:34.82           3980108
2007-138.h5       3:20.66           3800144
2007-139.h5       2:47.98           3436164
2007-140.h5       3:55.91           4159304
2007-141.h5       3:47.08           3977732
2007-142.h5       3:52.15           4158384
2007-143.h5       3:03.99           3617596
2007-144.h5       3:35.38           3979024
2007-145.h5       3:52.50           4158612
2007-146.h5       3:49.78           3979124
2007-147.h5       3:44.61           3982768
2007-148.h5       3:35.91           3977624
2007-149.h5       3:54.31           4158456
2007-150.h5       3:36.89           3980372
2007-151.h5       3:53.01           4159044
2007-152.h5       3:47.35           3978120
2007-153.h5       3:38.53           3977228
2007-154.h5       3:52.70           4160560
2007-155.h5       3:35.72           3979280
2007-156.h5       3:52.06           4158788
2007-157.h5       3:44.00           3980548
2007-158.h5       4:00.70           4158760
2007-159.h5       3:35.40           3978932
2007-160.h5       3:52.64           4158988
2007-161.h5       3:51.23           4158140
2007-162.h5       3:36.97           3977008
2007-163.h5       4:01.02           4160404
2007-164.h5       3:36.32           3976172
2007-165.h5       3:55.15           4159460
2007-166.h5       3:05.09           3617524
2007-167.h5       3:19.92           3799936
2007-168.h5       3:36.52           3976432
2007-169.h5       3:52.96           4160904
2007-170.h5       3:51.28           4160320
2007-171.h5       3:38.28           3980608
2007-172.h5       3:56.23           4148748
2007-173.h5       3:40.22           3980112
2007-174.h5       3:49.53           4159124
2007-175.h5       3:36.31           3978800
2007-176.h5       3:18.69           3798820
2007-177.h5       3:33.25           3980572
2007-178.h5       3:06.00           3617992
2007-179.h5       3:52.01           4159236
2007-180.h5       3:31.96           3982564
2007-181.h5       3:54.69           4159208
2007-182.h5       2:03.14           2895228
2007-183.h5       3:50.21           4158292
2007-184.h5       2:17.21           3077056
2007-185.h5       3:34.85           3980292
2007-186.h5       3:36.50           3978960
2007-187.h5       3:09.68           3618296
2007-188.h5       3:34.71           3978772
2007-189.h5       3:35.99           3980436
2007-190.h5       3:28.15           3798428
2007-191.h5       3:36.67           3978088
2007-192.h5       3:19.07           3800188
2007-194.h5       1:03.60           2166904
2007-195.h5       3:48.47           4159188
2007-196.h5       3:34.99           3978420
2007-197.h5       4:00.05           4159832
2007-198.h5       3:19.70           3800520
2007-199.h5       3:19.98           3799060
2007-200.h5       3:20.45           3798984
2007-201.h5       3:33.75           3979140
2007-202.h5       3:32.22           3978672
2007-203.h5       3:18.11           3618384
2007-204.h5       4:02.33           4161180
2007-206.h5       3:58.94           4158940
2007-207.h5       3:35.18           3978272
2007-208.h5       3:16.56           3797388
2007-209.h5       1:03.52           2168768
2007-210.h5       3:39.83           3979900
2007-211.h5       4:00.04           4159152
2007-212.h5       3:37.66           3979516
2007-213.h5       3:48.56           4158220
2007-214.h5       3:39.35           3979764
2007-215.h5       3:58.88           4159256
2007-216.h5       3:38.61           3981588
2007-217.h5       3:51.82           4160448
2007-218.h5       3:53.85           4158864
2007-219.h5       3:37.57           3978112
2007-220.h5       3:34.51           3980032
2007-221.h5       3:40.50           3980012
2007-222.h5       3:48.17           4157924
2007-223.h5       3:33.12           3980560
2007-224.h5       3:23.99           3800404
2007-225.h5       3:51.12           4159160
2007-226.h5       3:40.43           3978008
2007-227.h5       3:53.66           3978176
2007-228.h5       3:25.61           3796876
2007-229.h5       3:53.46           4159240
2007-230.h5       3:36.52           3980148
2007-231.h5       3:33.06           3977680
2007-232.h5       3:34.21           3978188
2007-233.h5       3:33.47           3979976
2007-234.h5       3:36.73           3979040
2007-235.h5       3:33.48           3978920
2007-236.h5       3:50.96           4160144
2007-237.h5       3:42.88           3977900
2007-238.h5       3:55.70           4157484
2007-239.h5       3:46.63           3982776
2007-240.h5       3:43.17           3981236
2007-241.h5       4:00.54           4157504
2007-242.h5       3:38.14           3978196
2007-243.h5       3:36.26           3979944
2007-244.h5       3:34.96           3979832
2007-245.h5       3:58.08           4157820
2007-246.h5       3:19.92           3799028
2007-247.h5       3:18.19           3799860
2007-248.h5       3:36.18           3980900
2007-249.h5       3:04.32           3618356
2007-250.h5       3:51.86           4158088
2007-251.h5       3:37.25           3979760
2007-252.h5       3:53.83           4159768
2007-253.h5       3:37.02           3978888
2007-254.h5       3:38.01           3978972
2007-255.h5       3:36.32           3979356
2007-256.h5       3:42.58           3982228
2007-259.h5       1:05.04           2168992
2007-260.h5       3:18.38           3796736
2007-261.h5       3:55.88           4158604
2007-262.h5       3:21.77           3800628
2007-263.h5       3:04.51           3619516
2007-264.h5       3:33.46           3979948
2007-265.h5       4:05.36           4155728
2007-266.h5       3:50.44           4158928
2007-267.h5       2:19.47           3075668
2007-268.h5       3:50.48           4161660
2007-269.h5       3:33.95           3981088
2007-270.h5       3:51.14           4158236
2007-271.h5       3:38.97           3982448
2007-272.h5       3:50.81           4159252
2007-273.h5       3:53.59           4159180
2007-274.h5       3:09.29           3619016
2007-275.h5       3:22.39           3799444
2007-276.h5       3:32.16           3979512
2007-277.h5       3:46.21           4159504
2007-278.h5       3:39.44           3977736
2007-279.h5       3:34.84           3978980
2007-280.h5       3:40.44           3981240
2007-281.h5       3:51.49           4160620
2007-282.h5       3:47.76           4158824
2007-283.h5       3:19.86           3799400
2007-284.h5       3:51.23           4158628
2007-285.h5       3:45.06           3978900
2007-286.h5       3:45.53           3980984
2007-287.h5       3:45.05           3981332
2007-288.h5       3:52.53           4157708
2007-290.h5       1:22.07           2353232
2007-291.h5       3:57.56           4158856
2007-292.h5       3:40.45           3977956
2007-293.h5       4:03.31           4158284
2007-294.h5       3:36.08           3977728
2007-295.h5       3:52.06           4158784
2007-296.h5       3:35.90           3981764
2007-297.h5       3:49.36           4157632
2007-298.h5       3:36.14           3977772
2007-299.h5       3:20.22           3799052
2007-300.h5       3:56.34           4158452
2007-301.h5       2:32.20           3256348
2007-302.h5       3:54.13           4160248
2007-303.h5       3:08.17           3617836
2007-304.h5       3:51.47           4157432
2007-305.h5       3:51.25           4158192
2007-306.h5       3:06.29           3617712
2007-307.h5       3:38.33           3979928
2007-308.h5       3:05.47           3617896
2007-309.h5       0:32.69           1802972
2007-310.h5       3:38.14           3977796
2007-311.h5       3:34.16           3797756
2007-312.h5       3:36.82           3978032
2007-313.h5       3:49.55           4162252
2007-314.h5       3:35.58           3979000
2007-315.h5       3:43.76           3980296
2007-316.h5       3:54.18           4158808
2007-317.h5       3:42.94           3982920
2007-318.h5       3:50.38           4159288
2007-319.h5       3:38.11           3977668
2007-320.h5       3:41.91           3978804
2007-321.h5       3:53.40           4158616
2007-322.h5       2:20.54           3078372
2007-323.h5       4:15.45           4127284
2007-324.h5       3:31.77           3774316
2007-325.h5       4:04.56           4158276
2007-326.h5       3:46.35           3978956
2007-327.h5       3:58.29           4157900
2007-328.h5       3:40.52           3978020
2007-329.h5       3:58.38           4133320
2007-330.h5       3:25.94           3773180
2007-331.h5       3:26.59           3802728
2007-332.h5       3:20.24           3800252
2007-333.h5       3:21.03           3800144
2007-334.h5       3:54.21           4158052
2007-335.h5       3:37.61           3955316
2007-336.h5       2:55.28           3437048
2007-337.h5       3:36.15           3979640
2007-338.h5       3:24.95           3800040
2007-339.h5       3:32.40           3980860
2007-340.h5       3:24.02           3798656
2007-341.h5       3:51.29           4158836
